Rk,Player,School,Conf,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD
22,Davis Brin,Tulsa,American,9,148,250,59.2,2138,8.6,8.5,17,8,147.1,48,-77,-1.6,2
23,Drake Maye,North Carolina,ACC,13,324,482,67.2,4115,8.5,9.3,35,7,160.0,172,653,3.8,7
24,Jayden De Laura,Arizona,Pac-12,12,272,435,62.5,3685,8.5,8.3,25,13,146.7,74,116,1.6,4
25,Dillon Gabriel,Oklahoma,Big 12,11,216,343,63.0,2925,8.5,9.1,24,6,154.2,75,298,4.0,5
26,Will Levis,Kentucky,SEC,11,185,283,65.4,2406,8.5,8.3,19,10,151.9,72,-107,-1.5,2
27,Jaren Hall,Brigham Young,Ind,12,248,376,66.0,3171,8.4,9.4,31,6,160.8,86,350,4.1,3
28,Bryce Young,Alabama,SEC,11,230,359,64.1,3007,8.4,9.3,27,5,156.5,46,195,4.2,4
29,Chase Brice,Appalachian State,Sun Belt,12,219,349,62.8,2921,8.4,9.1,27,6,155.1,71,117,1.6,4
30,J.J. McCarthy,Michigan,Big Ten,13,188,288,65.3,2376,8.3,9.2,20,3,155.4,60,254,4.2,4
31,Clayton Tune,Houston,American,12,316,469,67.4,3845,8.2,8.8,37,10,158.0,117,489,4.2,5
32,Darren Grainger,Georgia State,Sun Belt,12,174,297,58.6,2443,8.2,8.4,18,7,143.0,164,733,4.5,6
33,Clay Millen,Colorado State,MWC,10,169,234,72.2,1910,8.2,7.9,10,6,149.8,100,-28,-0.3,0
34,Tanner Mordecai,SMU,American,11,261,406,64.3,3306,8.1,8.7,31,9,153.4,54,118,2.2,2
35,Cameron Rising,Utah,Pac-12,12,241,364,66.2,2939,8.1,8.6,25,7,152.9,68,409,6.0,6
36,Dorian Thompson-Robinson,UCLA,Pac-12,12,250,358,69.8,2883,8.1,8.6,25,7,156.6,112,631,5.6,11
37,Jaxson Dart,Ole Miss,SEC,12,201,321,62.6,2613,8.1,8.1,18,8,144.5,117,548,4.7,0
38,Chris Reynolds,Charlotte,CUSA,10,201,316,63.6,2540,8.0,7.9,22,11,147.1,46,-40,-0.9,1
39,Drew Pyne,Notre Dame,Ind,11,164,254,64.6,2021,8.0,8.6,22,6,155.3,47,108,2.3,2
40,Holton Ahlers,East Carolina,American,12,289,431,67.1,3408,7.9,8.5,23,5,148.8,65,134,2.1,5
41,Seth Henigan,Memphis,American,12,265,416,63.7,3275,7.9,7.9,19,8,141.1,135,313,2.3,4
42,Carter Bradley,South Alabama,Sun Belt,12,240,374,64.2,2966,7.9,8.1,25,10,147.5,63,70,1.1,2
43,Taulia Tagovailoa,Maryland,Big Ten,11,243,354,68.6,2787,7.9,8.1,17,6,147.2,78,61,0.8,4
44,Spencer Rattler,South Carolina,SEC,12,233,350,66.6,2766,7.9,7.4,16,11,141.8,66,19,0.3,3
45,Ben Bryant,Cincinnati,American,11,213,348,61.2,2732,7.9,8.2,21,7,143.0,47,-118,-2.5,0
46,Collin Schlee,Kent State,MAC,11,157,266,59.0,2109,7.9,8.1,13,5,138.0,98,489,5.0,4
47,TJ Mcmahon,Rice,CUSA,10,160,266,60.2,2102,7.9,6.9,18,14,138.3,65,154,2.4,3
48,Austin Reed,Western Kentucky,CUSA,13,353,548,64.4,4249,7.8,8.2,36,10,147.6,87,199,2.3,8
49,Anthony Richardson,Florida,SEC,12,176,327,53.8,2549,7.8,7.6,17,9,131.0,103,654,6.3,9
50,Riley Leonard,Duke,ACC,12,231,364,63.5,2794,7.7,8.0,20,6,142.8,114,636,5.6,11
51,Sean Clifford,Penn State,Big Ten,12,210,330,63.6,2543,7.7,8.1,22,7,146.1,61,177,2.9,5
52,John Rhys Plumlee,UCF,American,12,197,312,63.1,2404,7.7,7.6,14,7,138.2,145,841,5.8,11
53,Taylen Green,Boise State,MWC,12,153,249,61.4,1905,7.7,7.6,13,6,138.1,69,467,6.8,8
54,Kedon Slovis,Pitt,ACC,11,184,315,58.4,2397,7.6,7.0,10,9,127.1,25,-68,-2.7,0
55,Chevan Cordeiro,San Jose State,MWC,11,233,383,60.8,2885,7.5,8.1,20,4,139.3,129,215,1.7,8
56,Jayden Daniels,LSU,SEC,13,254,371,68.5,2774,7.5,8.0,16,3,143.9,180,818,4.5,11
57,Blake Shapen,Baylor,Big 12,12,222,345,64.3,2602,7.5,7.2,16,10,137.2,71,104,1.5,2
58,Brady Cook,Missouri,SEC,12,217,333,65.2,2504,7.5,7.4,13,7,137.0,125,547,4.4,6
59,Chandler Rogers,Louisiana-Monroe,Sun Belt,12,216,320,67.5,2403,7.5,7.5,15,7,141.7,145,353,2.4,5
60,Graham Mertz,Wisconsin,Big Ten,12,164,286,57.3,2136,7.5,7.2,19,10,135.0,50,-40,-0.8,2
61,Doug Brumfield,UNLV,MWC,10,164,254,64.6,1898,7.5,7.4,10,5,136.4,90,261,2.9,6
62,N'Kosi Perry,Florida Atlantic,CUSA,12,215,371,58.0,2712,7.3,8.1,25,5,138.9,91,259,2.8,6
63,DeQuan Finn,Toledo,MAC,11,172,291,59.1,2127,7.3,7.0,22,12,137.2,113,608,5.4,8
64,Tyler Van Dyke,Miami (FL),ACC,9,160,253,63.2,1835,7.3,7.2,10,5,133.3,30,-34,-1.1,0
65,Quinn Ewers,Texas,Big 12,9,141,249,56.6,1808,7.3,7.3,14,6,131.4,20,-58,-2.9,1
66,Spencer Sanders,Oklahoma State,Big 12,10,212,368,57.6,2642,7.2,7.0,17,9,128.3,107,391,3.7,8
67,Tommy Devito,Illinois,Big Ten,12,234,335,69.9,2397,7.2,7.5,15,4,142.3,63,70,1.1,5
68,Malik Cunningham,Louisville,ACC,10,136,218,62.4,1568,7.2,6.9,8,5,130.3,113,560,5.0,12
69,James Blackman,Arkansas State,Sun Belt,11,223,347,64.3,2471,7.1,7.5,14,3,135.7,61,-120,-2.0,3
70,Kyle Vantrease,Georgia Southern,Sun Belt,12,342,558,61.3,3895,7.0,6.7,25,15,129.3,31,25,0.8,3
71,Aidan O'Connell,Purdue,Big Ten,12,320,499,64.1,3490,7.0,6.7,22,13,132.2,43,-81,-1.9,1
72,Chase Cunningham,Middle Tennessee State,CUSA,11,283,420,67.4,2920,7.0,6.9,19,9,136.4,90,143,1.6,6
73,Hayden Wolff,Old Dominion,Sun Belt,12,234,413,56.7,2908,7.0,7.3,18,6,127.3,62,-80,-1.3,1
74,Matt McDonald,Bowling Green State,MAC,11,230,375,61.3,2639,7.0,7.3,22,8,135.5,70,-35,-0.5,1
75,Cooper Legas,Utah State,MWC,9,128,209,61.2,1465,7.0,6.1,11,9,128.9,96,278,2.9,2
76,Jack Plummer,California,Pac-12,12,282,451,62.5,3095,6.9,6.9,21,9,131.5,52,-126,-2.4,1
77,Tanner McKee,Stanford,Pac-12,12,264,426,62.0,2947,6.9,6.7,13,8,126.4,74,-90,-1.2,2
78,Payton Thorne,Michigan State,Big Ten,12,242,387,62.5,2679,6.9,6.6,19,11,131.2,60,42,0.7,1
79,Demarcus Irons Jr.,Akron,MAC,10,253,379,66.8,2606,6.9,6.6,10,7,129.5,133,314,2.4,4
80,E.J. Warner,Temple,American,11,268,443,60.5,3028,6.8,6.4,18,12,125.9,16,-50,-3.1,0
81,D.J. Uiagalelei,Clemson,ACC,13,229,370,61.9,2521,6.8,7.2,22,7,135.0,142,545,3.8,7
82,Ben Wooldridge,Louisiana,Sun Belt,10,138,244,56.6,1661,6.8,7.1,15,5,129.9,48,187,3.9,2
83,Johnathan Bennett,Liberty,Ind,11,131,224,58.5,1534,6.8,6.1,12,9,125.7,76,181,2.4,2
84,Donovan Smith,Texas Tech,Big 12,12,146,221,66.1,1505,6.8,6.3,12,8,133.9,76,116,1.5,7
85,Cam Fancher,Marshall,Sun Belt,12,121,216,56.0,1465,6.8,6.5,8,5,120.6,101,456,4.5,1
86,Cameron Ward,Washington State,Pac-12,12,298,465,64.1,3094,6.7,6.9,23,8,132.9,96,62,0.6,5
87,Hunter Dekkers,Iowa State,Big 12,12,302,457,66.1,3044,6.7,6.1,19,14,129.6,89,73,0.8,2
88,Will Rogers,Mississippi State,SEC,12,386,566,68.2,3713,6.6,7.3,34,6,141.0,41,-172,-4.2,0
89,Cole Snyder,Buffalo,MAC,12,250,423,59.1,2765,6.5,6.5,17,8,123.5,106,140,1.3,4
90,Brennan Armstrong,Virginia,ACC,10,185,338,54.7,2210,6.5,5.4,7,12,109.4,123,371,3.0,6
91,Grant Wells,Virginia Tech,ACC,11,196,332,59.0,2171,6.5,5.9,9,9,117.5,111,205,1.8,6
92,Gavin Hardison,UTEP,CUSA,10,164,315,52.1,2044,6.5,6.0,11,8,113.0,66,76,1.2,1
93,Robby Ashford,Auburn,SEC,12,123,250,49.2,1613,6.5,5.8,7,7,107.0,153,710,4.6,7
94,Emmett Morehead,Boston College,ACC,10,115,192,59.9,1254,6.5,6.2,10,6,125.7,44,-17,-0.4,0
95,JT Daniels,West Virginia,Big 12,10,200,327,61.2,2107,6.4,6.0,13,9,122.9,30,-51,-1.7,1
96,AJ Swann,Vanderbilt,SEC,9,115,198,58.1,1274,6.4,7.0,10,2,126.8,21,-76,-3.6,0
97,Daniel Richardson,Central Michigan,MAC,12,179,321,55.8,1988,6.2,6.4,15,5,120.1,33,-55,-1.7,0
98,Spencer Petras,Iowa,Big Ten,12,157,281,55.9,1725,6.1,5.7,5,5,109.8,57,-182,-3.2,3
99,Layne Hatcher,Texas State,Sun Belt,12,275,442,62.2,2653,6.0,5.8,19,10,122.3,50,-151,-3.0,1
100,JT Shrout,Colorado,Pac-12,9,90,203,44.3,1220,6.0,4.9,7,8,98.3,30,-15,-0.5,1
101,Aveon Smith,Miami (OH),MAC,9,93,191,48.7,1137,6.0,5.7,9,5,109.0,101,503,5.0,6
102,Brayden Schager,Hawaii,MWC,12,221,400,55.3,2348,5.9,5.4,13,10,110.3,45,47,1.0,0
103,Nate Cox,Nevada,MWC,12,133,252,52.8,1466,5.8,5.3,5,5,104.2,72,264,3.7,3
104,John Paddock,Ball State,MAC,12,286,480,59.6,2719,5.7,5.1,18,14,113.7,27,-84,-3.1,0
105,Andrew Peasley,Wyoming,MWC,11,126,245,51.4,1388,5.7,4.9,9,8,104.6,70,330,4.7,2
106,Grayson James,Florida International,CUSA,11,210,358,58.7,1969,5.5,4.7,11,11,108.9,79,223,2.8,3
107,Connor Bazelak,Indiana,Big Ten,10,235,426,55.2,2312,5.4,5.0,13,10,106.1,47,-160,-3.4,1
108,Zion Turner,Connecticut,Ind,12,140,231,60.6,1245,5.4,4.8,9,7,112.7,84,237,2.8,1
