,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
221,2004,kendrick starling,San Jose State,WR,72.6,193,8.25,31.5,,4.5,,31.5,119,3.87,6.88,10.8,k,starling,k-starling-2004
233,2004,andrae thurman,Southern Oregon,WR,71.3,192,8.88,30.88,,4.53,,34.5,121,4.3,7.31,11.66,a,thurman,a-thurman-2004
252,2004,ernest wilford,Virginia Tech,WR,75.6,226,9.5,32.75,,4.76,,40.5,130,4.17,,,e,wilford,e-wilford-2004
261,2004,george wilson,Arkansas,WR,72.1,213,9.25,31.75,,4.6,,35,120,3.98,7.07,11.07,g,wilson,g-wilson-2004
270,2004,rashaun woods,Oklahoma State,WR,74.1,202,10.13,32,,4.54,,39,125,3.97,6.93,11.26,r,woods,r-woods-2004
29,2005,larry brackins,Pearl River (MS),WR,76.38,205,8.5,33.5,,4.65,,35,108,4.44,7.16,,l,brackins,l-brackins-2005
30,2005,mark bradley,Oklahoma,WR,73.38,201,8.88,31.38,,4.43,,39.5,128,3.98,6.96,10.88,m,bradley,m-bradley-2005
31,2005,craig bragg,UCLA,WR,72.63,196,9.75,32.25,,4.46,,36,122,,,,c,bragg,c-bragg-2005
39,2005,reggie brown,Georgia,WR,73.63,196,9.38,31.38,,4.52,,41.5,128,3.94,6.99,11.34,r,brown,r-brown-2005
60,2005,mark clayton,Oklahoma,WR,70.38,193,9.13,30.63,,4.43,,36.5,117,4.07,6.95,11.08,m,clayton,m-clayton-2005
81,2005,airese currie,Clemson,WR,70.5,186,8,31.5,,4.52,,38,125,4.07,7.05,10.91,a,currie,a-currie-2005
89,2005,josh davis,Marshall (WV),WR,72.38,191,9.38,32,,4.55,,37.5,118,4.22,7.19,11.44,j,davis,j-davis-2005
99,2005,braylon edwards,Michigan,WR,74.88,211,9.88,33.13,,4.45,22,38,,4.02,6.83,,b,edwards,b-edwards-2005
122,2005,charles frederick,Washington,WR,70.75,194,,,,4.78,,33,108,4.25,7.41,,c,frederick,c-frederick-2005
130,2005,fred gibson,Georgia,WR,76,196,9,33.13,,4.57,,38.5,126,4.1,7.03,11.33,f,gibson,f-gibson-2005
131,2005,howard gilmore,Norfolk State (VA),WR,72,194,10.13,32,,4.74,,36,113,4.44,7.56,12.23,h,gilmore,h-gilmore-2005
148,2005,reggie harrell,Texas Christian,WR,74.75,214,9.63,33,,4.61,,35,111,4.11,7.42,11.33,r,harrell,r-harrell-2005
159,2005,chris henry,West Virginia,WR,76,197,,,,4.5,,36,,,,,c,henry,c-henry-2005
162,2005,efrem hill,Samford (AL),WR,72.5,179,9.25,32.13,,4.64,,37.5,123,4.07,7.42,11.08,e,hill,e-hill-2005
180,2005,vincent jackson,Northern Colorado,WR,76.75,241,9.63,32.75,,4.5,23,39,129,4,,,v,jackson,v-jackson-2005
190,2005,brandon jones,Oklahoma,WR,73.38,210,10,33.13,,4.47,,37,114,4.08,7.03,11.18,b,jones,b-jones-2005
208,2005,chase lyman,California,WR,74.63,217,9.88,31.75,,4.51,16,36.5,115,,,,c,lyman,c-lyman-2005
210,2005,tony madison,Hampton (VA),WR,73.5,214,,,,4.52,,39,121,4.31,7.14,,t,madison,t-madison-2005
213,2005,tommy manus,Morgan State (MD),WR,75.88,222,10.13,31.75,,4.61,,38,120,4.34,7.2,11.53,t,manus,t-manus-2005
215,2005,jerome mathis,Hampton (VA),WR,71.25,181,,,,4.26,,35.5,123,,,,j,mathis,j-mathis-2005
217,2005,marcus maxwell,Oregon,WR,75.25,204,,,,4.45,,40.5,122,3.91,6.57,,m,maxwell,m-maxwell-2005
218,2005,leron mccoy,Indiana (PA),WR,73.5,211,9.38,33.5,,4.41,,37,119,4.21,7.19,11.27,l,mccoy,l-mccoy-2005
236,2005,lance moore,Toledo,WR,69.25,177,,,,4.52,,40,117,4.32,7.12,,l,moore,l-moore-2005
243,2005,terrence murphy,Texas A&M,WR,72.88,202,9.38,31.63,,4.43,,41,128,3.91,7.02,,t,murphy,t-murphy-2005
254,2005,chad owens,Hawaii,WR,67.38,183,9.63,27.88,,4.66,23,37,110,3.94,6.7,11.08,c,owens,c-owens-2005
256,2005,roscoe parrish,Miami (FL),WR,69.75,168,8.63,29.25,,4.4,10,36,126,4.2,6.64,,r,parrish,r-parrish-2005
263,2005,tab perry,UCLA,WR,74.5,229,10,32.5,,4.48,,34,116,4.22,7,,t,perry,t-perry-2005
275,2005,jamaica rector,Northwest Missouri State,WR,69.75,186,9.63,32,,4.5,17,36.5,119,4.13,6.78,11.12,j,rector,j-rector-2005
281,2005,dante ridgeway,Ball State (IN),WR,71.13,212,8.5,30,,4.6,15,33,117,4.39,7.27,,d,ridgeway,d-ridgeway-2005
285,2005,courtney roby,Indiana,WR,72.13,189,9.63,31.38,,4.41,,36.5,125,3.94,6.6,11.18,c,roby,c-roby-2005
293,2005,j.r. russell,Louisville,WR,75,206,9.63,32.63,,4.58,,34.5,120,4.02,6.92,,j,russell,j-russell-2005
296,2005,steve savoy,Utah,WR,70.88,192,9.5,32.13,,4.66,,32,109,4.22,7.28,,s,savoy,s-savoy-2005
301,2005,dan sheldon,Northern Illinois,WR,68.88,179,9.13,29.25,,4.46,,,,,,,d,sheldon,d-sheldon-2005
316,2005,chauncey stovall,Florida State,WR,72.75,221,9.63,33.13,,4.66,,,,,,,c,stovall,c-stovall-2005
317,2005,taylor stubblefield,Purdue,WR,71.25,174,,,,4.75,,32,114,4.18,6.94,,t,stubblefield,t-stubblefield-2005
327,2005,craphonso thorpe,Florida State,WR,72.88,188,,,,4.38,,,,,,,c,thorpe,c-thorpe-2005
338,2005,paris warren,Utah,WR,72.38,219,9.88,32.13,,4.73,,31.5,,4.18,6.98,,p,warren,p-warren-2005
346,2005,roddy white,Alabama-Birmingham,WR,73.25,207,,,,4.46,18,41,126,4.01,7.12,,r,white,r-white-2005
353,2005,mike williams,Southern California,WR,76.63,229,8.88,34.13,,4.57,,36.5,123,4.23,6.95,,m,williams,m-williams-2005
354,2005,roydell williams,Tulane (LA),WR,73.38,195,,,,4.52,,38,,,,,r,williams,r-williams-2005
355,2005,troy williamson,South Carolina,WR,73.38,203,9.38,33,21,4.34,,37,,4.18,6.99,,t,williamson,t-williamson-2005
7,2006,david anderson,Colorado State,WR,70.5,192,9.5,29.88,,4.6,,34,116,4.2,6.88,11.67,d,anderson,d-anderson-2006
12,2006,devin aromashodu,Auburn,WR,74.5,201,9.13,32.75,,4.4,,39,120,4.16,7.04,11.38,d,aromashodu,d-aromashodu-2006
13,2006,miles austin,Monmouth (NJ),WR,74.13,215,10,31,,4.5,21,40.5,123,4.14,7.09,11.3,m,austin,m-austin-2006
16,2006,hank baskett,New Mexico,WR,74.88,224,9.13,32.75,,4.52,,35,119,4.17,6.79,11.58,h,baskett,h-baskett-2006
25,2006,damarius bilbo,Georgia Tech,WR,73.88,214,9.38,31.63,,4.73,19,36.5,115,4.18,6.9,12.1,d,bilbo,d-bilbo-2006
28,2006,jeremy bloom,Colorado,WR,69,173,9,28.5,,4.52,,,,,,,j,bloom,j-bloom-2006
31,2006,jovon bouknight,Wyoming,WR,73.38,195,8.88,30.63,,4.73,,34,120,4.03,6.93,11.46,j,bouknight,j-bouknight-2006
46,2006,jason carter,Texas A&M,WR,71.63,211,9.75,31.25,,4.62,,33,116,4.21,6.89,11.69,j,carter,j-carter-2006
54,2006,marques colston,Hofstra (NY),WR,76.63,224,9.5,33.38,,4.54,16,37,123,4.43,6.94,11.27,m,colston,m-colston-2006
67,2006,chris denney,Nebraska-Omaha,WR,75,224,10,30.25,,4.66,13,33,110,4.33,7.02,12.21,c,denney,c-denney-2006
98,2006,skyler green,Louisiana State,WR,69.13,192,8.38,29.5,,4.52,,34,118,4.2,6.84,,s,green,s-green-2006
103,2006,derek hagan,Arizona State,WR,73.75,208,8.88,31.5,,4.45,15,36,124,4.07,,11.33,d,hagan,d-hagan-2006
108,2006,chris hannon,Tennessee,WR,75.25,205,9.75,34.25,,4.5,,34.5,122,4.29,7.24,,c,hannon,c-hannon-2006
114,2006,mike hass,Oregon State,WR,72.63,208,9.5,30.63,,4.64,,32,116,4.14,6.97,11.55,m,hass,m-hass-2006
123,2006,devin hester,Miami (FL),WR,70.63,190,9,31.13,,4.46,16,38,124,,,,d,hester,d-hester-2006
125,2006,ed hinkel,Iowa,WR,72.25,190,7.88,30,,4.55,,34,116,4.1,6.97,11.1,e,hinkel,e-hinkel-2006
126,2006,domenik hixon,Akron,WR,74.13,192,,,,4.39,,,,,,,d,hixon,d-hixon-2006
129,2006,santonio holmes,Ohio State,WR,70.63,188,,,,4.35,,38,126,4.26,6.82,,s,holmes,s-holmes-2006
142,2006,chad jackson,Florida,WR,72.88,213,9.25,32.75,15,4.35,,38.5,122,3.97,6.73,11.19,c,jackson,c-jackson-2006
149,2006,adam jennings,Frenso State (CA),WR,69.13,181,8.63,28.38,,4.46,,37.5,118,4.12,6.88,11.37,a,jennings,a-jennings-2006
150,2006,greg jennings,Western Michigan,WR,71.13,197,9.13,31,,4.47,,36.5,117,4.16,6.68,11.15,g,jennings,g-jennings-2006
172,2006,greg lee,Pittsburgh,WR,73.63,201,8.5,31.75,,4.6,,35.5,114,4.09,6.8,,g,lee,g-lee-2006
188,2006,brandon marshall,Central Florida,WR,76.5,229,8.88,32.63,,4.54,28,37,120,4.09,7.05,11.87,b,marshall,b-marshall-2006
213,2006,anthony mix,Auburn,WR,76.25,235,9.63,32.88,,4.5,,31.5,111,4.43,7.18,,a,mix,a-mix-2006
217,2006,tres moses,Rutgers,WR,69.13,192,,,,,,,,,,,t,moses,t-moses-2006
218,2006,sinorice moss,Miami (FL),WR,68,185,9,29.13,,4.4,,,,,,,s,moss,s-moss-2006
219,2006,martin nance,Miami (OH),WR,76.25,213,10.38,33.13,,4.58,,33.5,112,4.08,6.91,,m,nance,m-nance-2006
229,2006,ben obomanu,Auburn,WR,73,205,,,,4.45,,38,116,4.21,7.18,,b,obomanu,b-obomanu-2006
235,2006,jonathan orr,Wisconsin,WR,74.13,198,9.63,34,,4.47,,35.5,119,4.16,7.31,,j,orr,j-orr-2006
257,2006,willie reid,Florida State,WR,70.5,188,9.25,30.63,,4.41,,37.5,117,4.26,7.06,,w,reid,w-reid-2006
261,2006,cory rodgers,Texas Christian,WR,71.88,188,9,31.88,,4.66,,33.5,110,4.19,7.37,,c,rodgers,c-rodgers-2006
267,2006,richie ross,Nebraska-Kearney,WR,75.88,209,9.5,30.63,,4.64,,37,120,4.29,6.95,11.72,r,ross,r-ross-2006
283,2006,brad smith,Missouri,WR,74.13,213,10,33.5,24,4.51,,39.5,128,4.33,7,,b,smith,b-smith-2006
289,2006,clinton solomon,Iowa,WR,74.75,214,9.75,33.63,,4.6,,33,114,4.46,7.17,11.82,c,solomon,c-solomon-2006
298,2006,maurice stovall,Notre Dame,WR,76.38,217,9.63,33.75,,4.59,,35,122,4.14,6.81,,m,stovall,m-stovall-2006
318,2006,delanie walker,Central Missouri,WR,73.25,240,9.75,32,,4.55,,36.5,118,4.6,7.23,,d,walker,d-walker-2006
324,2006,todd watkins,Brigham Young,WR,74.38,202,9.25,31.25,,4.43,15,36,118,4.24,7.13,,t,watkins,t-watkins-2006
327,2006,jeff webb,San Diego State,WR,74.13,211,9.38,32.25,,4.43,,37,126,4.08,6.81,,j,webb,j-webb-2006
337,2006,brandon williams,Wisconsin,WR,69.38,179,8.38,29.38,,4.5,38,34.5,115,4.07,6.87,,b,williams,b-williams-2006
339,2006,demetrius williams,Oregon,WR,73.75,197,,,,,,38,127,4.08,6.84,,d,williams,d-williams-2006
346,2006,travis wilson,Oklahoma,WR,74,214,9.5,31.38,,4.53,,36.5,120,3.99,6.7,,t,wilson,t-wilson-2006
12,2007,aundrae allison,East Carolina (NC),WR,72.25,198,9,32.25,,4.42,,37,127,4.25,6.81,,a,allison,a-allison-2007
20,2007,dallas baker,Florida,WR,75.13,208,10.13,36.5,,4.59,,36,129,4.19,6.69,,d,baker,d-baker-2007
22,2007,david ball,New Hampshire,WR,72.88,196,,,,4.7,,33,120,4.21,6.94,,d,ball,d-ball-2007
23,2007,reggie ball,Georgia Tech,WR,70.63,203,,,,4.82,15,30,112,4.19,6.9,,r,ball,r-ball-2007
42,2007,dwayne bowe,Louisiana State,WR,74.25,221,9.63,34.25,,4.58,,33,125,4.35,6.81,,d,bowe,d-bowe-2007
48,2007,steve breaston,Michigan,WR,72.38,193,9.25,33.25,,4.48,,33,124,4.29,6.9,,s,breaston,s-breaston-2007
49,2007,john broussard,San Jose State,WR,72.63,200,,,,4.38,12,40,128,4.09,,,j,broussard,j-broussard-2007
67,2007,david clowney,Virginia Tech,WR,72.25,188,10.25,31.75,,4.39,,32.5,123,4.15,7,11.75,d,clowney,d-clowney-2007
75,2007,jemalle cornelius,Florida,WR,70.75,184,9.75,32.75,,4.59,,34.5,123,4.3,6.99,,j,cornelius,j-cornelius-2007
85,2007,chris davis,Florida State,WR,70.25,181,9.13,30,,4.51,15,35.5,115,4.14,6.66,11.3,c,davis,c-davis-2007
98,2007,aaron fairooz,Central Arkansas,WR,77.75,209,10,35,,4.52,,36,125,4.27,6.89,,a,fairooz,a-fairooz-2007
100,2007,yamon figurs,Kansas State,WR,71.25,174,8.63,32.5,,4.34,,32.5,123,4.21,6.85,,y,figurs,y-figurs-2007
101,2007,joel filani,Texas Tech,WR,74.13,211,9.13,34.5,,4.55,17,32.5,117,,,,j,filani,j-filani-2007
112,2007,anthony gonzalez,Ohio State,WR,72,193,9.38,31,,4.46,16,38,123,4.08,6.54,11.45,a,gonzalez,a-gonzalez-2007
121,2007,roy hall,Ohio State,WR,74,229,,,,4.41,19,37.5,123,4.13,6.65,,r,hall,r-hall-2007
137,2007,jarrett hicks,Texas Tech,WR,74.88,210,9.5,33.5,,4.7,,34.5,120,,,,j,hicks,j-hicks-2007
138,2007,johnnielee higgins,Texas-El Paso,WR,71.38,186,9.38,32.5,,4.49,,36.5,122,4.32,6.62,11.4,j,higgins,j-higgins-2007
139,2007,jason hill,Washington State,WR,72.5,204,9.63,32.75,,4.35,,37,123,4.22,7.02,,j,hill,j-hill-2007
141,2007,jonathan holland,Louisiana Tech,WR,71.75,191,9.25,35,,4.48,15,35.5,120,4.4,7.12,11.32,j,holland,j-holland-2007
153,2007,drisan james,Boise State,WR,72,193,9.75,32.25,,4.58,14,39,129,4.39,7.09,11.83,d,james,d-james-2007
154,2007,dwayne jarrett,Southern California,WR,76,219,,,,4.62,,36.5,121,4.2,7.28,,d,jarrett,d-jarrett-2007
156,2007,calvin johnson,Georgia Tech,WR,77,239,9.75,36,,4.38,,42.5,139,,,,c,johnson,c-johnson-2007
163,2007,jacoby jones,Lane College (TN),WR,74.63,210,8.13,34.25,,4.55,,34,129,4.31,7.03,,j,jones,j-jones-2007
164,2007,james jones,San Jose State,WR,72.75,207,10,33,,4.58,22,34,119,4.2,7.06,11.58,j,jones,j-jones-2007
166,2007,onrea jones,Hampton (VA),WR,71.13,202,,,,4.6,,39,121,4.28,7.05,,o,jones,o-jones-2007
168,2007,jordan kent,Oregon,WR,76.13,217,,,,,,,,,,,j,kent,j-kent-2007
184,2007,mike mason,Tennessee State,WR,71.63,190,,,,4.45,,39.5,129,4.08,6.94,,m,mason,m-mason-2007
190,2007,marquay mcdaniel,Hampton (VA),WR,70.5,205,9,31.75,,4.58,19,33.5,114,4.35,7.13,11.47,m,mcdaniel,m-mcdaniel-2007
194,2007,rhema mcknight,Notre Dame,WR,73.25,211,,,,4.53,,34,118,4.16,6.84,,r,mcknight,r-mcknight-2007
195,2007,robert meachem,Tennessee,WR,74,214,9.38,32.25,,4.4,,37.5,121,4.31,6.97,11.3,r,meachem,r-meachem-2007
203,2007,ryan moore,Miami (FL),WR,74.25,217,9,32.88,,4.56,,32,110,4.35,6.87,,r,moore,r-moore-2007
209,2007,legedu naanee,Boise State,WR,74.25,225,9.5,33,,4.44,19,40,119,4.2,6.73,,l,naanee,l-naanee-2007
214,2007,syvelle newton,South Carolina,WR,72.75,218,10,32.25,,4.67,20,,,4.47,7.44,,s,newton,s-newton-2007
246,2007,jerard rabb,Boise State,WR,74.38,201,10.38,34.13,,4.6,,36.5,125,4.19,6.99,11.56,j,rabb,j-rabb-2007
249,2007,sidney rice,South Carolina,WR,75.5,200,9.75,33.5,,4.53,,39.5,119,4.34,7.09,,s,rice,s-rice-2007
253,2007,laurent robinson,Illinois State,WR,74,199,9,33.75,,4.44,19,39,127,4.28,6.83,11.45,l,robinson,l-robinson-2007
255,2007,ryne robinson,Miami (OH),WR,69.13,179,9.38,30.5,,4.5,,35,123,4.21,6.71,11.43,r,robinson,r-robinson-2007
279,2007,bret smith,Tennessee,WR,74.13,173,,,,4.55,9,34.5,121,4.53,6.99,,b,smith,b-smith-2007
284,2007,steve smith,Southern California,WR,71.75,197,9.38,32.25,,4.45,,38,120,4.19,6.68,,s,smith,s-smith-2007
290,2007,derek stanley,Wisconsin-Whitewater,WR,69.75,175,,,,,,,,,,,d,stanley,d-stanley-2007
294,2007,syndric steptoe,Arizona,WR,68.63,194,10,31.38,,4.61,17,33,124,4.17,7.05,,s,steptoe,s-steptoe-2007
297,2007,chansi stuckey,Clemson,WR,70.63,197,10,31.5,,4.58,,35,120,4.14,6.91,11.86,c,stuckey,c-stuckey-2007
299,2007,jayson swain,Tennessee,WR,72.38,212,8.88,32.63,,4.64,,33,,,,,j,swain,j-swain-2007
301,2007,courtney taylor,Auburn,WR,73.75,204,9.5,32.25,,4.52,,36,122,4.28,7.22,,c,taylor,c-taylor-2007
311,2007,matt trannon,Michigan State,WR,78,216,9,34.75,,4.59,13,36.5,118,4.34,7.09,11.78,m,trannon,m-trannon-2007
320,2007,mike walker,Central Florida,WR,73.8,209,9.25,32.5,,4.4,18,36.5,121,4.39,6.92,,m,walker,m-walker-2007
327,2007,chandler williams,Florida International,WR,70.75,184,8,31.25,,4.46,,32.5,123,4.29,6.99,11.34,c,williams,c-williams-2007
330,2007,paul williams,Frenso State (CA),WR,73.25,205,10.25,36,,4.49,,38.5,125,4.24,7.03,11.56,p,williams,p-williams-2007
337,2007,d'juan woods,Oklahoma State,WR,72.5,208,10.5,33,,4.62,,36.5,120,4.34,6.89,11.86,d,woods,d-woods-2007
6,2008,jake allen,Mississippi College,WR,75.63,190,,,,,,,,,,,j,allen,j-allen-2008
9,2008,danny amendola,Texas Tech,WR,70.5,183,,,,4.7,13,27.5,103,4.25,6.81,,d,amendola,d-amendola-2008
10,2008,adrian arrington,Michigan,WR,74.88,203,,,,4.55,,36,,,,,a,arrington,a-arrington-2008
11,2008,donnie avery,Houston,WR,71,192,9.63,30.75,,4.46,16,,,,,,d,avery,d-avery-2008
22,2008,earl bennett,Vanderbilt,WR,71.5,209,9.5,32.13,,4.52,15,26,110,4.22,7.15,,e,bennett,e-bennett-2008
26,2008,davone bess,Hawaii,WR,69.88,194,9,30.13,,4.77,12,31.5,118,4.27,6.97,,d,bess,d-bess-2008
31,2008,todd blythe,Iowa State,WR,76.88,214,9.25,32.5,,4.69,13,31.5,118,4.23,6.92,,t,blythe,t-blythe-2008
36,2008,adarius bowman,Oklahoma State,WR,74.88,223,9.5,33.75,,4.77,14,33.5,,,,,a,bowman,a-bowman-2008
39,2008,mark bradford,Stanford,WR,72.75,211,9.75,32.63,,4.75,19,36.5,120,4.47,7.12,12.07,m,bradford,m-bradford-2008
41,2008,brandon breazell,UCLA,WR,71.63,160,8.75,32.5,,4.47,,30.5,115,4.29,6.97,,b,breazell,b-breazell-2008
50,2008,travis brown,New Mexico,WR,74.13,202,,,,4.64,13,30,120,4.38,7.18,,t,brown,t-brown-2008
51,2008,dorien bryant,Purdue,WR,69.75,174,9.13,32.13,,4.55,,,119,4.24,6.88,,d,bryant,d-bryant-2008
54,2008,keenan burton,Kentucky,WR,72.5,201,9.5,34.38,,4.48,10,38.5,125,4.2,6.77,11.36,k,burton,k-burton-2008
56,2008,andre caldwell,Florida,WR,72.25,204,9.13,32.75,,4.39,,33,124,4.11,6.75,,a,caldwell,a-caldwell-2008
96,2008,early doucet,Louisiana State,WR,72.13,209,,,,4.59,,34.5,114,4.55,7.34,,e,doucet,e-doucet-2008
97,2008,harry douglas,Louisville,WR,71.25,176,8.25,32.25,,4.57,,31,120,4.12,6.57,,h,douglas,h-douglas-2008
114,2008,will franklin,Missouri,WR,72.5,214,9.75,32.5,,4.39,,34.5,,,,,w,franklin,w-franklin-2008
115,2008,pierre garcon,Mount Union (OH),WR,71.88,210,9.5,31.13,,4.44,20,36.5,125,4.19,6.9,,p,garcon,p-garcon-2008
130,2008,ryan grice-mullen,Hawaii,WR,70,187,9,30.25,,4.57,17,27.5,118,4.16,6.91,,r,grice-mullen,r-grice-mullen-2008
137,2008,d.j. hall,Alabama,WR,73.88,193,9.25,31.13,,4.62,,29.5,122,,,,d,hall,d-hall-2008
140,2008,james hardy,Indiana,WR,77.38,217,10.25,35.5,14,4.53,18,31.5,125,4.2,6.84,,j,hardy,j-hardy-2008
141,2008,justin harper,Virginia Tech,WR,75.5,213,9.25,33.38,,4.62,,28.5,120,4.43,7.03,,j,harper,j-harper-2008
146,2008,lavelle hawkins,California,WR,71,187,9.5,30.13,,4.58,14,33.5,117,4.24,6.95,,l,hawkins,l-hawkins-2008
154,2008,marcus henry,Kansas,WR,75.63,207,9,33.75,,4.59,,31.5,126,4.3,7.08,,m,henry,m-henry-2008
162,2008,paul hubbard,Wisconsin,WR,74.75,221,8.5,33.25,,4.59,15,29.5,126,,6.93,,p,hubbard,p-hubbard-2008
167,2008,desean jackson,California,WR,69.75,169,9.38,29.75,,4.4,,34.5,120,4.19,6.82,,d,jackson,d-jackson-2008
168,2008,dexter jackson,Appalachian State (NC),WR,69.5,182,8.63,30.63,,4.37,,29.5,122,4.38,6.81,11.22,d,jackson,d-jackson-2008
175,2008,jaymar johnson,Jackson State (MS),WR,71.13,177,9,30.75,,4.53,14,32,118,4.18,6.75,11.43,j,johnson,j-johnson-2008
177,2008,steve johnson,Kentucky,WR,73.88,210,9.63,32.75,,4.59,16,32.5,121,4.26,7.07,11.61,s,johnson,s-johnson-2008
182,2008,jason jones,Arkansas-Pine Bluff,WR,73,180,,,,4.47,9,,123,4.2,6.81,,j,jones,j-jones-2008
191,2008,malcolm kelly,Oklahoma,WR,75.75,224,,,,4.68,,32,117,4.24,7,,m,kelly,m-kelly-2008
211,2008,mario manningham,Michigan,WR,71.75,181,9,32.13,,4.62,16,32,117,4.27,7.34,11.68,m,manningham,m-manningham-2008
216,2008,shaheer mcbride,Delaware State,WR,73.5,205,9.63,32,,4.68,,29,112,4.48,7.12,11.75,s,mcbride,s-mcbride-2008
228,2008,marcus monk,Arkansas,WR,76.25,222,9.75,33.25,,4.61,9,34.5,119,4.3,7.08,11.68,m,monk,m-monk-2008
232,2008,kenneth moore,Wake Forest,WR,70.75,195,9,31.13,,4.51,,28,120,4.3,7.09,11.94,k,moore,k-moore-2008
239,2008,jordy nelson,Kansas State,WR,74.63,217,10,32.5,,4.55,,31,123,4.35,7.03,11.53,j,nelson,j-nelson-2008
252,2008,brian paysinger,Oregon,WR,73.63,206,,,,,,,,,,,b,paysinger,b-paysinger-2008
259,2008,maurice purify,Nebraska,WR,75.13,224,,,,4.55,,28.5,117,4.29,6.95,,m,purify,m-purify-2008
263,2008,darius reynaud,West Virginia,WR,69.25,201,8.63,31,,4.52,20,34.5,130,4.32,6.88,11.47,d,reynaud,d-reynaud-2008
270,2008,jason rivers,Hawaii,WR,73.25,200,9.63,32,,4.62,8,30,118,4.32,7.03,11.36,j,rivers,j-rivers-2008
274,2008,kevin robinson,Utah State,WR,71.5,202,9.38,31.38,,4.75,,27.5,115,4.77,7.31,11.94,k,robinson,k-robinson-2008
277,2008,eddie royal,Virginia Tech,WR,69.63,184,8.63,31,,4.46,24,36,124,4.34,7.07,11.66,e,royal,e-royal-2008
283,2008,chaz schilens,San Diego State,WR,75.88,208,,,,4.38,,43,123,4.25,6.84,,c,schilens,c-schilens-2008
291,2008,arman shields,Richmond (VA),WR,72.75,194,9.75,31.75,,4.4,19,37.5,128,3.96,6.67,10.87,a,shields,a-shields-2008
295,2008,jerome simpson,Coastal Carolina (SC),WR,73.75,199,11,34.25,,4.44,,37.5,136,4.52,7.08,11.77,j,simpson,j-simpson-2008
303,2008,marcus smith,New Mexico,WR,73.38,221,9.13,32.13,,4.59,20,26.5,111,4.42,7.1,12.07,m,smith,m-smith-2008
306,2008,taj smith,Syracuse,WR,72.38,187,8.75,31.25,,4.64,35,35,119,4.5,7.15,11.69,t,smith,t-smith-2008
316,2008,limas sweed,Texas,WR,75.88,215,9.5,32.5,,4.56,35,35,128,4.33,7.14,,l,sweed,l-sweed-2008
322,2008,devin thomas,Michigan State,WR,73.88,216,10.13,32.88,23,4.43,16,28,126,4.26,7.15,11.73,d,thomas,d-thomas-2008
331,2008,mario urrutia,Louisville,WR,77.38,232,10.25,34,,4.63,16,30,115,4.44,7.07,,m,urrutia,m-urrutia-2008
9,2009,ramses barden,Cal Poly,WR,78,229,,,,4.55,17,33.5,118,4.26,7.1,,r,barden,r-barden-2009
31,2009,kenny britt,Rutgers,WR,74.88,218,,,,4.49,23,37,124,4.47,,,k,britt,k-britt-2009
40,2009,freddie brown,Utah,WR,74.63,215,,,,4.57,,36,113,4.24,6.85,,f,brown,f-brown-2009
49,2009,deon butler,Penn State,WR,70.38,182,,,,4.31,12,34.5,118,4.48,7.01,11.32,d,butler,d-butler-2009
51,2009,demetrius byrd,Louisiana State,WR,72.25,196,,,,4.35,,31.5,117,4.52,7.08,,d,byrd,d-byrd-2009
61,2009,jeremy childs,Boise State,WR,71.63,200,,,,4.62,,33.5,115,4.26,6.9,11.29,j,childs,j-childs-2009
66,2009,austin collie,Brigham Young,WR,72.88,200,,,,4.56,17,34,120,4.24,6.78,,a,collie,a-collie-2009
72,2009,quan cosby,Texas,WR,68.63,196,,,,4.5,28,34.5,,4.47,7.28,,q,cosby,q-cosby-2009
74,2009,michael crabtree,Texas Tech,WR,73.38,215,,,,,,,,,,,m,crabtree,m-crabtree-2009
86,2009,jarett dillard,Rice (TX),WR,70.25,191,,,,4.52,13,42.5,129,4.41,7.1,,j,dillard,j-dillard-2009
89,2009,julian edelman,Kent State (OH),WR,70.38,195,,,,4.52,14,36.5,123,3.92,6.62,,j,edelman,j-edelman-2009
90,2009,dominique edison,Stephen F. Austin (TX),WR,74.13,204,,,,4.43,,37,120,4.18,7.09,,d,edison,d-edison-2009
107,2009,brooks foster,North Carolina,WR,72.5,201,,,,4.45,27,,,,,,b,foster,b-foster-2009
118,2009,brandon gibson,Washington State,WR,72.38,210,,,,4.59,10,34,113,4.54,6.94,,b,gibson,b-gibson-2009
137,2009,brian hartline,Ohio State,WR,73.63,195,,,,4.52,,34.5,120,4.12,6.65,10.92,b,hartline,b-hartline-2009
138,2009,percy harvin,Florida,WR,71.13,192,,,12,4.39,19,37.5,121,,,,p,harvin,p-harvin-2009
141,2009,darrius heyward-bey,Maryland,WR,73.63,210,,,,4.25,16,38.5,126,4.18,6.8,,d,heyward-bey,d-heyward-bey-2009
153,2009,juaquin iglesias,Oklahoma,WR,72.88,210,,,,4.44,,34.5,116,4.4,7.22,,j,iglesias,j-iglesias-2009
172,2009,manuel johnson,Oklahoma,WR,70.88,189,,,,,,,,,,,m,johnson,m-johnson-2009
176,2009,taurus johnson,South Florida,WR,72.25,206,,,,4.49,18,35.5,121,4.24,7.37,,t,johnson,t-johnson-2009
179,2009,aaron kelly,Clemson,WR,76.5,204,,,,4.49,11,38,119,4.45,7.25,,a,kelly,a-kelly-2009
