,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
940,3,89,HOU,Nico Collins,WR,22,Michigan,2021,215,4.43,37.5,6.78,4.29,76,nico collins+2021,,,,,,,,,,,,,,,,3
941,3,91,CLE,Anthony Schwartz,WR,21,Auburn,2021,186,4.27,32,7.13,4.25,72,anthony schwartz+2021,21,95,1076,11.32631579,4,15,112,7.466666667,2,110,1188,10.8,6,51.23809524,SEC,3
942,4,109,TEN,Dez Fitzpatrick,WR,23,Louisville,2021,208,4.43,35,7.09,4.26,73,dez fitzpatrick+2021,45,154,2589,16.81168831,21,0,0,,0,154,2589,16.81168831,21,57.53333333,ACC,3
943,4,112,DET,Amon-Ra St. Brown,WR,21,USC,2021,197,4.51,38.5,6.88,4.17,71,amon-ra st. brown+2021,30,178,2270,12.75280899,16,9,69,7.666666667,1,187,2339,12.50802139,17,75.66666667,Pac-12,1
944,4,129,TAM,Jaelon Darden,WR,22,North Texas,2021,174,4.47,35.5,6.66,3.98,67,jaelon darden+2021,47,230,2782,12.09565217,38,7,27,3.857142857,0,237,2809,11.85232068,38,59.19148936,CUSA,4
945,4,131,BAL,Tylan Wallace,WR,22,Oklahoma St.,2021,194,4.48,33,6.97,4.25,71,tylan wallace+2021,32,198,3316,16.74747475,26,3,13,4.333333333,1,201,3329,16.56218905,27,103.625,Big 12,4
946,4,141,LAR,Jacob Harris,WR,24,Central Florida,2021,,,,,,,jacob harris+2021,10,30,539,17.96666667,8,0,0,,0,30,539,17.96666667,8,53.9,American,
947,5,157,MIN,Ihmir Smith-Marsette,WR,22,Iowa,2021,181,4.43,37,7,4.2,72,ihmir smith-marsette+2021,20,69,1067,15.46376812,9,18,162,9,4,87,1229,14.12643678,13,53.35,Big Ten,3
948,5,179,DAL,Simi Fehoko,WR,23,Stanford,2021,222,4.44,34.5,6.78,4.26,75,simi fehoko+2021,15,61,1140,18.68852459,9,1,-1,-1,0,62,1139,18.37096774,9,76,Pac-12,
949,5,181,KAN,Cornell Powell,WR,23,Clemson,2021,204,4.53,36.5,7.03,4.21,72,cornell powell+2021,12,53,882,16.64150943,7,0,0,,0,53,882,16.64150943,7,73.5,ACC,
950,6,187,ATL,Frank Darby,WR,23,Arizona St.,2021,201,4.56,34.5,7.05,4.25,72,frank darby+2021,,,,,,,,,,,,,,,,4
951,6,203,BUF,Marquez Stevenson,WR,23,Houston,2021,180,4.48,33,6.76,4.14,70,marquez stevenson+2021,30,147,2233,15.19047619,22,26,231,8.884615385,2,173,2464,14.24277457,24,74.43333333,American,
952,6,204,CAR,Shi Smith,WR,22,South Carolina,2021,,,,,,,shi smith+2021,42,174,2204,12.66666667,13,9,14,1.555555556,0,183,2218,12.12021858,13,52.47619048,SEC,3
953,6,205,TEN,Racey McMath,WR,22,LSU,2021,217,4.36,34,7.38,4.38,74,racey mcmath+2021,,,,,,,,,,,,,,,,4
954,6,209,JAX,Jalen Camp,WR,23,Georgia Tech,2021,,,,,,,jalen camp+2021,9,27,417,15.44444444,4,0,0,,0,27,417,15.44444444,4,46.33333333,ACC,
955,6,219,DEN,Seth Williams,WR,21,Auburn,2021,211,4.49,37,7.2,4.43,75,seth williams+2021,33,132,2124,16.09090909,17,0,0,,0,132,2124,16.09090909,17,64.36363636,SEC,3
956,6,221,CHI,Dazz Newsome,WR,22,North Carolina,2021,190,4.59,34,7.38,4.38,70,dazz newsome+2021,35,170,2208,12.98823529,18,12,126,10.5,2,182,2334,12.82417582,20,63.08571429,ACC,4
957,7,229,IND,Mike Strachan,WR,24,Charleston (WV),2021,,,,,,,mike strachan+2021,,,,,,,,,,,,,,,,4
958,7,242,NWE,Tre Nixon,WR,23,Central Florida,2021,187,4.44,35.5,6.81,4.27,72,tre nixon+2021,27,108,1652,15.2962963,13,0,0,,0,108,1652,15.2962963,13,61.18518519,American,
959,7,249,LAR,Ben Skowronek,WR,24,Notre Dame,2021,,,,,,,ben skowronek+2021,9,29,439,15.13793103,5,2,17,8.5,1,31,456,14.70967742,6,48.77777778,ACC,3
960,7,255,NOR,Kawaan Baker,WR,23,South Alabama,2021,,,,,,,kawaan baker+2021,34,119,1727,14.51260504,15,92,376,4.086956522,11,211,2103,9.966824645,26,50.79411765,Sun Belt,
961,7,258,WAS,Dax Milne,WR,22,BYU,2021,,,,,,,dax milne+2021,12,70,1188,16.97142857,8,11,67,6.090909091,0,81,1255,15.49382716,8,99,Ind,4
962,1,8,ATL,Drake London,WR,21,USC,2022,219,,,,,76,drake london+2022,22,160,2153,13.45625,15,1,2,2,0,161,2155,13.38509317,15,97.86363636,Pac-12,
963,1,10,NYJ,Garrett Wilson,WR,22,Ohio St.,2022,183,4.38,36,,4.36,72,garrett wilson+2022,32,143,2213,15.47552448,23,6,143,23.83333333,1,149,2356,15.81208054,24,69.15625,Big Ten,
964,1,11,NOR,Chris Olave,WR,22,Ohio St.,2022,187,4.39,32,,,72,chris olave+2022,31,163,2505,15.36809816,32,3,5,1.666666667,0,166,2510,15.12048193,32,80.80645161,Big Ten,
965,1,12,DET,Jameson Williams,WR,21,Alabama,2022,179,,,,,74,jameson williams+2022,15,79,1572,19.89873418,15,3,23,7.666666667,0,82,1595,19.45121951,15,104.8,SEC,
966,1,16,WAS,Jahan Dotson,WR,22,Penn St.,2022,178,4.43,36,7.28,,71,jahan dotson+2022,34,170,2554,15.02352941,25,8,18,2.25,1,178,2572,14.4494382,26,75.11764706,Big Ten,
967,1,18,TEN,Treylon Burks,WR,22,Arkansas,2022,225,4.55,33,7.28,,74,treylon burks+2022,32,146,2399,16.43150685,18,38,222,5.842105263,1,184,2621,14.24456522,19,74.96875,SEC,
968,2,34,GNB,Christian Watson,WR,23,North Dakota St.,2022,208,4.36,38.5,,,76,christian watson+2022,,,,,,,,,,,,,,,,
969,2,43,NYG,Wan'Dale Robinson,WR,21,Kentucky,2022,178,4.44,34.5,,,68,wan'dale robinson+2022,13,104,1334,12.82692308,7,7,111,15.85714286,0,111,1445,13.01801802,7,102.6153846,SEC,
970,2,44,HOU,John Metchie,WR,22,Alabama,2022,187,,,,,71,john metchie+2022,26,151,2058,13.62913907,14,1,8,8,0,152,2066,13.59210526,14,79.15384615,SEC,
971,2,50,NWE,Tyquan Thornton,WR,22,Baylor,2022,181,4.28,36.5,,,74,tyquan thornton+2022,27,107,1730,16.1682243,15,1,-11,-11,0,108,1719,15.91666667,15,64.07407407,Big 12,
972,2,52,PIT,George Pickens,WR,21,Georgia,2022,195,4.47,33,,,75,george pickens+2022,,,,,,,,,,,,,,,,
973,2,53,IND,Alec Pierce,WR,22,Cincinnati,2022,211,4.41,40.5,7.13,4.28,75,alec pierce+2022,26,89,1536,17.25842697,10,0,0,,0,89,1536,17.25842697,10,59.07692308,American,
974,2,54,KAN,Skyy Moore,WR,21,Western Michigan,2022,195,4.41,34.5,7.13,4.32,70,skyy moore+2022,30,171,2482,14.51461988,16,3,12,4,1,174,2494,14.33333333,17,82.73333333,MAC,
975,3,71,CHI,Velus Jones Jr.,WR,25,Tennessee,2022,204,4.31,33,,,72,velus jones jr.+2022,23,84,1087,12.94047619,10,4,31,7.75,0,88,1118,12.70454545,10,47.26086957,SEC,
976,3,88,DAL,Jalen Tolbert,WR,23,South Alabama,2022,194,4.49,36,7.08,,73,jalen tolbert+2022,35,173,3080,17.80346821,22,0,0,,0,173,3080,17.80346821,22,88,Sun Belt,
977,3,99,CLE,David Bell,WR,21,Purdue,2022,212,4.65,33,7.14,4.57,73,david bell+2022,29,232,2946,12.69827586,21,6,51,8.5,1,238,2997,12.59243697,22,101.5862069,Big Ten,
978,3,105,SFO,Danny Gray,WR,23,SMU,2022,186,4.33,34,,,72,danny gray+2022,18,82,1251,15.25609756,13,6,70,11.66666667,2,88,1321,15.01136364,15,69.5,American,
979,4,125,MIA,Erik Ezukanma,WR,22,Texas Tech,2022,209,,36.5,,4.38,74,erik ezukanma+2022,32,136,2117,15.56617647,14,10,138,13.8,2,146,2255,15.44520548,16,66.15625,Big 12,
980,4,132,GNB,Romeo Doubs,WR,22,Nevada,2022,201,,,,,74,romeo doubs+2022,43,225,3322,14.76444444,26,3,-1,-0.333333333,0,228,3321,14.56578947,26,77.25581395,MWC,
981,4,138,PIT,Calvin Austin,WR,23,Memphis,2022,170,4.32,39,6.65,4.07,68,calvin austin+2022,,,,,,,,,,,,,,,,
982,5,148,BUF,Khalil Shakir,WR,22,Boise St.,2022,196,4.43,34.5,7.28,4.21,72,khalil shakir+2022,33,192,2708,14.10416667,19,57,344,6.035087719,3,249,3052,12.25702811,22,82.06060606,MWC,
983,5,162,DEN,Montrell Washington,WR,23,Samford,2022,,,,,,,montrell washington+2022,,,,,,,,,,,,,,,,
984,5,163,TEN,Kyle Philips,WR,23,UCLA,2022,189,4.58,33.5,,,71,kyle philips+2022,29,157,1790,11.40127389,17,5,47,9.4,0,162,1837,11.33950617,17,61.72413793,Pac-12,
985,6,191,MIN,Jalen Nailor,WR,23,Michigan St.,2022,186,4.5,38,7.03,4.28,71,jalen nailor+2022,16,63,1210,19.20634921,10,3,8,2.666666667,0,66,1218,18.45454545,10,75.625,Big Ten,
986,6,202,CLE,Michael Woods II,WR,22,Oklahoma,2022,204,4.55,34.5,,,73,michael woods ii+2022,,,,,,,,,,,,,,,,
987,7,229,SEA,Bo Melton,WR,23,Rutgers,2022,189,4.34,38,6.98,,71,bo melton+2022,40,160,1928,12.05,11,25,165,6.6,2,185,2093,11.31351351,13,48.2,Big Ten,
988,7,233,SEA,Dareke Young,WR,23,Lenoir-Rhyne,2022,,,,,,,dareke young+2022,,,,,,,,,,,,,,,,
989,7,258,GNB,Samori Toure,WR,24,Nebraska,2022,,,,,,,samori toure+2022,12,46,898,19.52173913,5,8,63,7.875,1,54,961,17.7962963,6,74.83333333,Big Ten,
