,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
80,4,102,WAS,Stephen Davis,RB,22,Auburn,1996,,,,,,,stephen davis+1996,33,488,2811,5.760245902,30,33,342,10.36363636,4,521,3153,6.051823417,34,95.54545455,SEC,2
81,4,103,NOR,Ricky Whittle,RB,24,Oregon,1996,200,,,,,69,ricky whittle+1996,21,390,1627,4.171794872,20,69,564,8.173913043,2,459,2191,4.773420479,22,104.3333333,Pac-10,3
82,4,115,IND,Brian Milne,RB,23,Penn St.,1996,,,,,,,brian milne+1996,,,,,,,,,,,,,,,,
83,4,117,ATL,Richard Huntley,RB,23,Winston-Salem St.,1996,224,,,,,71.5,richard huntley+1996,,,,,,,,,,,,,,,,
84,4,124,NWE,Kantroy Barber,RB,22,West Virginia,1996,,,,,,,kantroy barber+1996,11,93,362,3.892473118,4,11,67,6.090909091,1,104,429,4.125,5,39,Big East,
85,5,134,MIA,Jerris McPhail,RB,24,East Carolina,1996,201,4.49,38.5,,4.32,70.6,jerris mcphail+1996,21,258,1236,4.790697674,7,49,543,11.08163265,3,307,1779,5.794788274,10,84.71428571,Ind,3
86,5,142,CAR,Marquette Smith,RB,,Central Florida,1996,,,,,,,marquette smith+1996,,,,,,,,,,,,,,,,
87,6,175,STL,Derrick Harris,RB,23,Miami (FL),1996,,,,,,,derrick harris+1996,,,,,,,,,,,,,,,,3
88,6,183,OAK,Tim Hall,RB,22,Robert Morris,1996,,,,,,,tim hall+1996,,,,,,,,,,,,,,,,
89,6,193,CAR,Scott Greene,RB,24,Michigan St.,1996,,,,,,,scott greene+1996,11,125,590,4.72,17,33,291,8.818181818,0,158,881,5.575949367,17,80.09090909,Big Ten,3
90,6,195,NWE,Marrio Grier,RB,24,Chattanooga,1996,,,,,,,marrio grier+1996,,,,,,,,,,,,,,,,4
91,6,196,BUF,Leon Neal,RB,23,Washington,1996,,,,,,,leon neal+1996,5,100,539,5.39,3,17,108,6.352941176,1,117,647,5.52991453,4,129.4,Pac-10,3
92,6,198,SFO,Stephen Pitts,RB,,Penn St.,1996,,,,,,,stephen pitts+1996,,,,,,,,,,,,,,,,
93,7,218,HOU,Mike Archie,RB,23,Penn St.,1996,206,,,,,68,mike archie+1996,22,229,1278,5.580786026,7,39,252,6.461538462,4,268,1530,5.708955224,11,69.54545455,Big Ten,4
94,7,231,SDG,Freddie Bradley,RB,26,Sonoma St.,1996,,,,,,,freddie bradley+1996,,,,,,,,,,,,,,,,3
95,7,235,DEN,L.T. Levine,RB,,Kansas,1996,,,,,,,l.t. levine+1996,30,407,2186,5.371007371,21,41,194,4.731707317,1,448,2380,5.3125,22,79.33333333,Big 8,
96,7,243,DAL,Ryan Wood,RB,,Arizona St.,1996,,,,,,,ryan wood+1996,,,,,,,,,,,,,,,,
97,7,253,CHI,Michael Hicks,RB,23,South Carolina St.,1996,188,4.59,32.5,,4.26,72.3,michael hicks+1996,,,,,,,,,,,,,,,,
98,1,12,TAM,Warrick Dunn,RB,22,Florida St.,1997,176,,,,,68,warrick dunn+1997,33,507,3448,6.800788955,33,107,957,8.943925234,6,614,4405,7.174267101,39,133.4848485,ACC,1
99,1,23,BUF,Antowain Smith,RB,25,Houston,1997,224,4.48,36.5,,,74.4,antowain smith+1997,21,354,1847,5.217514124,19,41,323,7.87804878,1,395,2170,5.493670886,20,103.3333333,CUSA,2
100,2,36,NYG,Tiki Barber,RB,22,Virginia,1997,203,4.56,35.5,7.18,4,69.4,tiki barber+1997,33,635,3348,5.272440945,31,63,600,9.523809524,2,698,3948,5.656160458,33,119.6363636,ACC,1
101,2,41,ATL,Byron Hanspard,RB,21,Texas Tech,1997,198,4.41,,,,70.5,byron hanspard+1997,33,732,4135,5.648907104,29,63,896,14.22222222,9,795,5031,6.328301887,38,152.4545455,Big 12,3
102,2,43,CIN,Corey Dillon,RB,22,Washington,1997,217,,,,,72.6,corey dillon+1997,11,271,1555,5.73800738,22,15,273,18.2,1,286,1828,6.391608392,23,166.1818182,Pac-10,1
103,3,61,NWE,Sedrick Shaw,RB,23,Iowa,1997,214,4.62,32,7.76,4.39,72,sedrick shaw+1997,44,796,3908,4.909547739,31,49,431,8.795918367,2,845,4339,5.134911243,33,98.61363636,Big Ten,3
104,3,62,NOR,Troy Davis,RB,21,Iowa St.,1997,181,4.56,34.5,7.35,4.27,67.9,troy davis+1997,22,747,4195,5.615796519,36,27,223,8.259259259,1,774,4418,5.708010336,37,200.8181818,Big 12,3
105,3,64,BAL,Jay Graham,RB,22,Tennessee,1997,215,4.46,36,7.28,4.05,71.6,jay graham+1997,22,451,2235,4.955654102,23,32,233,7.28125,2,483,2468,5.109730849,25,112.1818182,SEC,3
106,3,71,PHI,Duce Staley,RB,22,South Carolina,1997,220,,,,,71.1,duce staley+1997,22,345,1852,5.368115942,17,59,489,8.288135593,2,404,2341,5.794554455,19,106.4090909,SEC,2
107,4,104,NYJ,Leon Johnson,RB,23,North Carolina,1997,209,4.68,34,7.82,4.31,71.8,leon johnson+1997,45,797,3693,4.633626098,43,151,1288,8.529801325,4,948,4981,5.254219409,47,110.6888889,ACC,3
108,4,105,CHI,Darnell Autry,RB,21,Northwestern,1997,210,,34,,,70.8,darnell autry+1997,34,787,3793,4.81956798,35,60,447,7.45,2,847,4240,5.005903188,37,124.7058824,Big Ten,3
109,4,123,OAK,Chad Levitt,RB,21,Cornell,1997,233,4.61,34.5,7.41,4.19,73.1,chad levitt+1997,,,,,,,,,,,,,,,,4
110,4,129,DAL,Nicky Sualua,RB,22,Ohio St.,1997,,,,,,,nicky sualua+1997,,,,,,,,,,,,,,,,
111,5,138,SDG,Kenny Bynum,RB,23,South Carolina St.,1997,,,,,,,kenny bynum+1997,,,,,,,,,,,,,,,,
112,5,154,PIT,George Jones,RB,23,San Diego St.,1997,204,4.58,35,7.82,4.38,68.6,george jones+1997,19,486,2810,5.781893004,34,34,238,7,0,520,3048,5.861538462,34,160.4210526,WAC,3
113,5,163,KAN,June Henley,RB,22,Kansas,1997,234,,,,,70.9,june henley+1997,42,823,3841,4.667071689,41,61,622,10.19672131,1,884,4463,5.048642534,42,106.2619048,Big 12,2
114,6,167,BAL,Steve Lee,RB,,Indiana,1997,,,,,,,steve lee+1997,,,,,,,,,,,,,,,,
115,6,175,ARI,Rod Brown,RB,,North Carolina St.,1997,,,,,,,rod brown+1997,,,,,,,,,,,,,,,,
116,7,206,DET,Terry Battle,RB,,Arizona St.,1997,197,4.71,34.5,,,70.6,terry battle+1997,33,334,1796,5.377245509,21,15,152,10.13333333,1,349,1948,5.581661891,22,59.03030303,Pac-10,
117,1,5,CHI,Curtis Enis,RB,22,Penn St.,1998,242,,,,,72.6,curtis enis+1998,24,452,2573,5.692477876,32,57,506,8.877192982,2,509,3079,6.049115914,34,128.2916667,Big Ten,2
118,1,9,JAX,Fred Taylor,RB,22,Florida,1998,226,,,,,71.9,fred taylor+1998,32,489,2794,5.713701431,26,61,629,10.31147541,0,550,3423,6.223636364,26,106.96875,SEC,1
119,1,18,NWE,Robert Edwards,RB,23,Georgia,1998,218,,,,,71.5,robert edwards+1998,21,349,1708,4.893982808,21,46,413,8.97826087,2,395,2121,5.369620253,23,101,SEC,1
120,1,29,MIA,John Avery,RB,22,Mississippi,1998,184,4.38,34.5,7.35,4.16,69.4,john avery+1998,20,347,1650,4.755043228,12,35,212,6.057142857,0,382,1862,4.87434555,12,93.1,SEC,3
121,2,37,STL,Robert Holcombe,RB,22,Illinois,1998,216,4.53,35,7.49,4.15,70.9,robert holcombe+1998,43,943,4105,4.353128314,25,72,619,8.597222222,3,1015,4724,4.654187192,28,109.8604651,Big Ten,3
122,3,69,WAS,Skip Hicks,RB,23,UCLA,1998,230,,34.5,,,71.8,skip hicks+1998,23,482,2316,4.804979253,39,43,672,15.62790698,7,525,2988,5.691428571,46,129.9130435,Pac-10,3
123,3,76,SEA,Ahman Green,RB,21,Nebraska,1998,213,4.44,38.5,,,71.8,ahman green+1998,33,574,3880,6.759581882,42,35,300,8.571428571,3,609,4180,6.863711002,45,126.6666667,Big 12,4
124,3,81,NWE,Chris Floyd,RB,23,Michigan,1998,,,,,,,chris floyd+1998,,,,,,,,,,,,,,,,4
