PK2,Unnamed: 0,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year,PPRPoints,PPG,PK,response
glen coffee+2009,249.0,22.0,14.0,2.0,18.0,11.0,0.0,0.0,0.0,226.0,1.0,83.0,76.0,0.0,47.2,0.0,0.0,0.0,2009,47.2,3.3714285714285714,glen coffee+2009,3
glyn milburn+1994,109.0,23.0,16.0,3.0,106.0,77.0,0.0,0.0,0.0,201.0,1.0,58.0,549.0,3.0,168.0,0.0,4.0,4.0,1994,168.0,10.5,glyn milburn+1994,2
glyn milburn+1999,716.0,57.0,32.0,1.0,33.0,21.0,0.0,0.0,0.0,108.0,1.0,17.0,159.0,0.0,51.699999999999996,0.0,8.0,1.0,3999,51.7,1.615625,glyn milburn+1999,3
godwin igwebuike+2021,351.0,27.0,17.0,1.0,10.0,7.0,0.0,0.0,0.0,118.0,1.0,18.0,60.0,0.0,20.0,0.0,2.0,2.0,2021,26.8,1.576470588235294,godwin igwebuike+2021,3
greg comella+1998,1302.0,98.0,64.0,28.0,119.0,84.0,0.0,0.0,0.0,66.0,0.0,16.0,569.0,1.0,151.5,0.0,4.0,1.0,7998,151.5,2.3671875,greg comella+1998,3
greg comella+2002,392.0,27.0,12.0,7.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,15.0,0.0,1.0,1.0,2002,15.0,1.25,greg comella+2002,3
greg comella+2004,489.0,29.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.2,0.0,0.0,0.0,2004,2.2,0.31428571428571433,greg comella+2004,4
greg delong+1999,358.0,26.0,16.0,7.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,24.2,0.0,0.0,0.0,1999,24.2,1.5125,greg delong+1999,3
greg hill+1994,555.0,94.0,63.0,19.0,65.0,38.0,0.0,0.0,0.0,2436.0,6.0,588.0,323.0,1.0,349.9,0.0,5.0,3.0,7982,349.9,5.553968253968254,greg hill+1994,3
greg hill+1999,152.0,27.0,14.0,8.0,23.0,13.0,0.0,0.0,0.0,542.0,2.0,144.0,77.0,0.0,84.9,0.0,1.0,1.0,1999,84.9,6.064285714285715,greg hill+1999,3
greg jones+2004,2539.0,218.0,115.0,67.0,104.0,68.0,0.0,0.0,0.0,911.0,10.0,270.0,437.0,3.0,280.8,0.0,1.0,0.0,16066,280.8,2.4417391304347826,greg jones+2004,3
greg jones+2013,440.0,32.0,16.0,5.0,11.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,34.0,0.0,8.6,0.0,0.0,0.0,2013,8.600000000000001,0.5375000000000001,greg jones+2013,4
greg olsen+2011,145.0,26.0,16.0,13.0,89.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,5.0,127.0,0.0,1.0,1.0,2011,127.0,7.9375,greg olsen+2011,2
greg robinson+1993,133.0,24.0,12.0,12.0,21.0,15.0,0.0,0.0,0.0,591.0,1.0,156.0,142.0,0.0,88.3,0.0,3.0,0.0,1993,94.3,7.858333333333333,greg robinson+1993,2
greg robinson+1995,567.0,53.0,16.0,1.0,7.0,3.0,0.0,0.0,0.0,299.0,1.0,72.0,18.0,0.0,40.7,0.0,1.0,0.0,3991,40.7,2.54375,greg robinson+1995,3
gus edwards+2018,279.0,72.0,43.0,13.0,22.0,18.0,0.0,0.0,0.0,2152.0,10.0,414.0,194.0,0.0,299.4,0.0,3.0,2.0,6057,308.6,7.176744186046512,gus edwards+2018,2
harold green+1993,421.0,78.0,44.0,41.0,113.0,76.0,0.0,0.0,0.0,1473.0,3.0,462.0,564.0,2.0,299.7,0.0,6.0,2.0,5982,305.70000000000005,6.947727272727274,harold green+1993,3
harold green+1996,110.0,28.0,16.0,5.0,58.0,37.0,0.0,0.0,0.0,523.0,4.0,127.0,246.0,1.0,141.89999999999995,0.0,2.0,1.0,1996,141.9,8.86875,harold green+1996,2
harold green+1997,555.0,59.0,22.0,1.0,38.0,31.0,0.0,0.0,0.0,115.0,1.0,56.0,394.0,0.0,87.89999999999999,0.0,1.0,0.0,3995,87.9,3.9954545454545456,harold green+1997,3
harold morrow+1998,1776.0,106.0,59.0,2.0,19.0,14.0,0.0,0.0,0.0,75.0,0.0,17.0,144.0,0.0,35.9,0.0,1.0,0.0,7998,35.9,0.6084745762711864,harold morrow+1998,4
harold shaw+1999,853.0,51.0,24.0,0.0,7.0,4.0,0.0,0.0,0.0,35.0,0.0,18.0,42.0,0.0,11.7,0.0,0.0,0.0,3999,11.700000000000001,0.48750000000000004,harold shaw+1999,4
harvey williams+1993,271.0,26.0,7.0,6.0,9.0,7.0,0.0,0.0,0.0,149.0,0.0,42.0,42.0,0.0,20.1,0.0,3.0,0.0,1993,26.099999999999998,3.728571428571428,harvey williams+1993,3
harvey williams+1994,26.0,27.0,16.0,10.0,64.0,47.0,0.0,0.0,0.0,983.0,4.0,282.0,391.0,3.0,222.4,0.0,4.0,2.0,1994,222.4,13.9,harvey williams+1994,1
harvey williams+1995,505.0,118.0,59.0,30.0,167.0,118.0,58.0,2.0,4.0,2111.0,14.0,522.0,838.0,2.0,503.21999999999997,0.0,11.0,8.0,7986,503.22,8.529152542372882,harvey williams+1995,2
heath evans+2001,1671.0,98.0,61.0,1.0,18.0,12.0,0.0,0.0,0.0,108.0,0.0,33.0,87.0,0.0,29.5,0.0,2.0,1.0,8010,29.500000000000004,0.4836065573770492,heath evans+2001,4
heath evans+2005,255.0,27.0,12.0,3.0,17.0,14.0,0.0,0.0,0.0,192.0,0.0,52.0,105.0,0.0,43.7,0.0,0.0,0.0,2005,43.7,3.641666666666667,heath evans+2005,3
heath evans+2006,923.0,87.0,48.0,8.0,19.0,14.0,0.0,0.0,0.0,261.0,3.0,72.0,136.0,1.0,77.7,0.0,1.0,0.0,6021,77.7,1.6187500000000001,heath evans+2006,3
