,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
100,2,36,NYG,Tiki Barber,RB,22.0,Virginia,1997,203.0,4.56,35.5,7.18,4.0,69.4,tiki barber+1997,33.0,635.0,3348.0,5.27244094488189,31.0,63.0,600.0,9.523809523809524,2.0,698.0,3948.0,5.656160458452722,33.0,18.181818181818183,ACC,1.0
101,2,41,ATL,Byron Hanspard,RB,21.0,Texas Tech,1997,198.0,4.41,,,,70.5,byron hanspard+1997,33.0,732.0,4135.0,5.648907103825136,29.0,63.0,896.0,14.222222222222221,9.0,795.0,5031.0,6.3283018867924525,38.0,27.151515151515152,Big 12,
102,2,43,CIN,Corey Dillon,RB,22.0,Washington,1997,217.0,,,,,72.6,corey dillon+1997,11.0,271.0,1555.0,5.7380073800738005,22.0,15.0,273.0,18.2,1.0,286.0,1828.0,6.391608391608392,23.0,24.818181818181817,Pac-10,1.0
103,3,61,NWE,Sedrick Shaw,RB,23.0,Iowa,1997,214.0,4.62,32.0,7.76,4.39,72.0,sedrick shaw+1997,44.0,796.0,3908.0,4.909547738693467,31.0,49.0,431.0,8.795918367346939,2.0,845.0,4339.0,5.13491124260355,33.0,9.795454545454545,Big Ten,
104,3,62,NOR,Troy Davis,RB,21.0,Iowa St.,1997,181.0,4.56,34.5,7.35,4.27,67.9,troy davis+1997,22.0,747.0,4195.0,5.615796519410977,36.0,27.0,223.0,8.25925925925926,1.0,774.0,4418.0,5.708010335917312,37.0,10.136363636363637,Big 12,3.0
105,3,64,BAL,Jay Graham,RB,22.0,Tennessee,1997,215.0,4.46,36.0,7.28,4.05,71.6,jay graham+1997,22.0,451.0,2235.0,4.955654101995566,23.0,32.0,233.0,7.28125,2.0,483.0,2468.0,5.109730848861283,25.0,10.590909090909092,SEC,3.0
106,3,71,PHI,Duce Staley,RB,22.0,South Carolina,1997,220.0,,,,,71.1,duce staley+1997,22.0,345.0,1852.0,5.368115942028986,17.0,59.0,489.0,8.288135593220339,2.0,404.0,2341.0,5.794554455445544,19.0,22.227272727272727,SEC,1.0
107,4,104,NYJ,Leon Johnson,RB,23.0,North Carolina,1997,209.0,4.68,34.0,7.82,4.31,71.8,leon johnson+1997,45.0,797.0,3693.0,4.633626097867001,43.0,151.0,1288.0,8.52980132450331,4.0,948.0,4981.0,5.2542194092827,47.0,28.622222222222224,ACC,
108,4,105,CHI,Darnell Autry,RB,21.0,Northwestern,1997,210.0,,34.0,,,70.8,darnell autry+1997,34.0,787.0,3793.0,4.819567979669632,35.0,60.0,447.0,7.45,2.0,847.0,4240.0,5.005903187721369,37.0,13.147058823529411,Big Ten,3.0
109,4,123,OAK,Chad Levitt,RB,21.0,Cornell,1997,233.0,4.61,34.5,7.41,4.19,73.1,chad levitt+1997,,,,,,,,,,,,,,,,4.0
